HYG_ID,Name,Code,X,Y,3D_X,3D_Y,3D_Z,Spectrum,AbsMag,ColorIndex,Habitable
113850,5 Andromedae,HIP 114210,348,25,21.65993,-5.02507,25.84666,F5V,3.0165603149,0.449,False
37941,5 Puppis,HIP 38048,662,271,-13.41638,26.34637,-6.38849,F5+...,3.07651424618,0.478,False
19287,50 Persei,HIP 19335,515,78,7.84934,14.85746,13.14731,F7V,3.8744747676,0.52,False
97340,51 Aquilae,HIP 97650,210,336,12.0599,-22.97559,-4.93283,F0V,3.27090304814,0.402,False
14116,51 Arietis,HIP 14150,474,119,13.23739,13.52127,9.47956,G8V,4.99200906423,0.696,False
112998,51 Pegasi,HIP 113357,247,58,13.83143,-3.87064,5.44694,G5V,4.51790494284,0.666,True
110433,53 Aquarii,HIP 110778,228,223,17.65325,-7.62378,-5.78443,G3V,4.0361467138,0.618,False
119502,53 Aquarii A,HD 212698,228,223,17.65313,-7.624,-5.78453,G3 V,4.6961467138,0.62,False
82337,53 Herculis,HIP 82587,298,459,-7.36658,-24.46437,15.78069,F0V,2.95222116753,0.319,False
64204,53 Virginis,HIP 64407,806,456,-29.72747,-9.66737,-9.08059,F6V,2.4771060568,0.46,False
10008,54 Cassiopeiae,HIP 10031,434,598,7.31535,4.62137,25.93969,F8,4.38562480169,0.551,True
32394,56 Aurigae,HIP 32480,578,13,-2.42272,11.71458,11.38258,G0V,4.15092933246,0.575,True
86470,58 Ophiuchi,HIP 86736,159,393,-1.17758,-16.25989,-6.48197,F6/F7V,3.63937427836,0.469,False
93789,59 Draconis,HIP 94083,397,542,1.8853,-6.05651,26.54522,A9V,2.92977732498,0.308,False
114069,6 Andromedae,HIP 114430,341,35,20.00468,-4.39318,19.46653,F5IV,3.65440281319,0.45,False
99744,6 Capricorni,HIP 100064,207,316,18.42959,-26.80179,-7.23771,G6/G8III,0.966329977124,0.883,False
908,6 Ceti,HIP 910,240,171,18.1832,0.89448,-5.03756,F5V,3.50891968483,0.487,False
56829,61 Ursae Majoris,HIP 56997,487,360,-7.86403,0.6517,5.36323,G8Vvar,5.41201360492,0.723,False
64721,61 Virginis,HIP 64924,827,567,-7.62443,-2.71554,-2.67804,G5V,5.08649006058,0.709,True
36136,63 Geminorum,HIP 36238,615,23,-11.83428,29.38685,12.44441,F5IV-V...,2.54025895727,0.455,False
3802,64 Piscium,HIP 3810,354,134,22.36466,4.85364,6.97102,F8V...,3.17588140888,0.502,False
65216,66 Virginis,HIP 65420,800,472,-27.95451,-10.80809,-2.70856,F3V,3.36765170639,0.415,False
23886,68 Eridani,HIP 23941,625,165,5.53101,24.30937,-1.94293,F2V,3.11975702067,0.455,False
114209,7 Andromedae,HIP 114570,356,22,15.60014,-3.27689,18.60213,F0V,2.5843650019,0.302,False
31512,7 Canis Majoris,HIP 31592,669,214,-2.98477,18.48817,-6.54204,K1III+...,2.46258348719,1.037,False
88328,70 Ophiuchi,HIP 88601,354,329,0.12089,-5.07966,0.22206,K0V SB,5.49813845883,0.86,False
119199,70 Ophiuchi B,Gl 702  B,354,329,0.12071,-5.07962,0.22304,K5 Ve,7.46813845883,1.15,False
65516,70 Virginis,HIP 65721,464,409,-16.29497,-6.61939,4.31361,G5V,3.68048201152,0.714,True
29577,71 Orionis,HIP 29650,620,76,-1.2922,19.91636,6.93336,F6V,3.57568252234,0.43,False
88495,72 Ophiuchi,HIP 88771,222,444,0.80255,-25.01508,4.21683,A4IVs,1.68748110913,0.159,False
44764,75 Cancri,HIP 44892,610,508,-20.50875,18.99291,14.01586,G5IV,3.47439229705,0.654,False
63301,78 Ursae Majoris,HIP 63503,470,480,-13.34375,-3.62081,20.78372,F2V,2.94355472479,0.368,False
72378,8 Librae,HIP 72603,57,462,-16.72443,-15.4177,-6.52126,F3V,3.27964746358,0.401,False
45040,81 Cancri,HIP 45170,652,537,-14.71794,13.21751,5.29883,G9V,4.93343362142,0.731,False
118607,81 Cancri,Gl 337  B,652,537,-14.72007,13.21541,5.29814,,5.74343362142,None,False
55680,83 Leonis,HIP 55846,715,509,-17.46129,2.55025,0.92872,K0IV,5.25369846968,0.778,False
55682,83 Leonis B,HIP 55848,714,507,-17.77569,2.5949,0.9433,K2V,6.30498337019,1.002,False
12497,84 Ceti,HIP 12530,443,188,16.49057,13.98888,-0.26245,F7IV,4.04508912706,0.511,False
171,85 Pegasi,HIP 171,361,263,11.04175,0.1041,5.64682,G3V,5.332483299,0.69,False
56076,88 Leonis,HIP 56242,653,468,-22.14155,2.74292,5.7139,G0V,4.45844909559,0.57,False
118759,88 Leonis B,GJ 3670 B,650,464,-23.44835,2.90334,6.05219,K6 IV,7.2839192836,1.14,False
56277,89 Leonis,HIP 56445,702,464,-26.35683,2.96016,1.41803,F5V,3.63882490268,0.48,False
23728,9 Aurigae,HIP 23783,525,38,3.7552,15.84782,20.54728,F0V,2.88690344355,0.343,False
72397,9 Librae,HIP 72622,57,462,-16.71175,-15.43191,-6.54048,A3IV,0.879133566429,0.147,False
38273,9 Puppis,HIP 38382,636,279,-7.58382,14.29733,-4.00434,G2V,4.05003230712,0.6,False
118506,9 Puppis B,Gl 291  B,636,279,-7.58378,14.29782,-4.00267,G4 V,5.06003230712,0.65,False
73213,9 Ursae Minoris,HIP 73440,418,505,-7.44237,-7.47242,32.01154,G0,4.00158773158,0.631,False
114765,94 Aquarii,HIP 115126,221,152,19.8486,-3.57951,-4.82662,G6/G8IV,3.61613603021,0.787,False
119562,94 Aquarii B,Gl 894.2B,221,152,19.84882,-3.58071,-4.82481,K2 V,6.02613603021,0.91,False
14917,94 Ceti,HIP 14954,476,186,14.91336,16.67559,-0.46702,F8V,3.3210517733,0.575,False
118200,94 Ceti B,Gl 128  B,476,186,14.91441,16.67467,-0.46619,,9.7510517733,None,False
114780,96 Aquarii,HIP 115142,240,144,34.13697,-6.11182,-3.10991,F3IV,2.85092217785,0.386,False
77983,A 1134,HIP 78217,407,508,-4.82368,-8.21785,27.5084,G5,4.93963370698,0.654,False
99759,A 1205,HIP 100079,276,562,17.65726,-25.6378,17.40107,M0,5.89889004647,1.008,False
85716,A 2090AB,HIP 85977,330,488,-2.59086,-23.02892,24.80269,K0,5.99616371253,1.2,False
119040,A 2230B,Gl 596.1B,112,502,-8.19437,-12.15263,0.64383,,11.1676479088,None,False
43183,A 2899AB,HIP 43304,643,364,-22.28529,24.45772,2.13041,G5,5.35715668599,0.746,True
119159,A 351B,Gl 677  B,279,462,-2.7409,-20.36511,11.57572,,8.06682928296,None,False
118367,A 53B,Gl 200  B,665,122,2.98478,16.57537,-0.90456,M2,10.5649072517,None,False
112556,A 632,HIP 112915,368,0,12.40624,-3.79232,20.53496,K5III,6.08290433499,1.043,False
74310,A 691,HIP 74537,92,490,-11.4687,-12.94714,-0.40765,K0V,5.3896391921,0.763,False
119015,A 691,Gl 580  B,92,490,-11.46589,-12.94968,-0.40616,,6.1596391921,None,False
53846,AB Crateris,HIP 54002,712,430,-29.21587,7.44197,-4.95338,K3V,6.60473002654,0.971,True
25583,AB Doradus,HIP 25647,800,84,0.84409,6.15132,-13.59221,K1III(p),6.00777966145,0.83,False
119180,AC 7B,Gl 695  B,346,351,-0.43956,-7.42237,3.90798,M3   J,10.7286469987,1.49,False
119181,AC 7C,Gl 695  C,346,351,-0.43956,-7.42237,3.90798,M4   K,11.1786469987,None,False
80894,ACG 1A,HIP 81139,408,522,-2.77298,-7.05877,30.37629,K5,7.44167455901,1.12,False
119102,ACG 1B,Gl 632.2B,408,522,-2.77489,-7.0581,30.37627,DA,10.521674559,None,False
118677,AD Leonis,Gl 388,476,328,-4.17713,1.95586,1.66701,M4.5Ve,10.9470861289,1.54,False
14103,ADS 2292 B,HIP 14137,481,83,15.04325,15.34659,18.93999,,7.44474924407,0.788,False
20948,ADS 3266 A,HIP 21000,510,254,4.48573,10.85746,1.08948,F8+...,9.47095474019,0.6,False
42406,ADS 6905 A,HIP 42525,587,555,-10.91201,12.98147,14.8908,F8,8.18250875016,0.47,False
4845,ADS 860,HIP 4855,146,139,28.56127,7.98246,-11.74784,K0V,5.39118772583,0.799,False
63182,ADS 8724 B,HIP 63383,768,498,-21.25384,-5.62708,2.50864,G,8.96521170666,0.515,False
29024,AE Columbae,HIP 29096,701,194,-1.10932,30.83234,-17.09813,,9.11276531614,1.401,False
14533,AE Fornacis,HIP 14568,755,141,19.28318,20.69819,-13.04726,K4,7.76252516202,1.326,False
25423,AF Leporis,HIP 25486,654,170,3.75935,25.99109,-5.53458,F7V:,4.1562142528,0.553,False
83596,AG 208,HIP 83852,190,440,-6.66513,-28.97407,0.89247,G0,7.12298854552,0.616,False
86018,AG 210AB,HIP 86282,260,458,-1.97037,-20.28987,8.63455,M0...,7.56425045281,1.36,False
118029,AG 9B,GJ 1023 B,427,597,6.52137,1.57502,17.52122,,9.03363604513,0.64,False
19200,AG Doradus,HIP 19248,808,170,9.99448,18.69529,-27.69814,K1Vp,5.87713846473,0.944,False
17146,AGKR 3240,HIP 17187,514,109,15.41099,22.17867,16.76252,K0,6.26879359144,0.845,True
17894,AGKR 3376,HIP 17936,534,156,17.34472,27.26448,3.75073,G0,5.15851931582,0.684,False
18711,AGKR 3533,HIP 18758,515,79,12.54446,21.97044,23.97564,K0,5.55865274123,0.81,True
21518,AGKR 4077,HIP 21571,505,27,5.07607,13.55298,25.76434,G5,5.40715177183,0.71,True
36183,AGKR 6701,HIP 36285,581,596,-8.17705,20.1944,18.71122,G5,5.09914383391,0.702,True
43502,AGKR 8001,HIP 43625,563,540,-14.89859,15.82353,28.2117,F5,4.16198551729,0.498,False
44213,AGKR 8147,HIP 44341,639,379,-22.00229,21.66101,3.51673,G5,5.56793019882,0.81,True
45944,AGKR 8458,HIP 46076,620,486,-23.70638,19.23366,11.33145,G0,5.15639908222,0.68,False
50343,AGKR 9263,HIP 50485,572,497,-23.51629,11.14767,24.30978,G5,3.72198551729,0.925,False
54267,AGKR 9989,HIP 54426,558,469,-17.38802,3.99546,14.15419,K0,6.56281718552,0.942,True
16206,AK Fornacis,HIP 16247,734,146,17.67524,22.90602,-12.94288,K4V,6.6449968179,1.02,False
118393,AK Leporis,HD 38392,739,59,0.56207,8.27265,-3.42018,K2 V,6.3661795773,0.94,False
31631,AK Pictoris,HIP 31711,787,226,-1.70494,10.18644,-19.04867,G1/G2V,4.47085852681,0.624,False
15293,ALB 1B,HIP 15330,823,68,3.6299,4.24036,-10.75784,G2V,5.11253293558,0.641,False
68334,ALD 112,HIP 68551,449,425,-22.2736,-13.11728,7.16606,M2...,8.48737951841,1.424,True
117943,ALD 8AB,HIP 118310,289,136,25.19001,-0.0223,2.94335,K5,6.82913388537,1.187,True
76098,AN Coronae Borealis,HIP 76330,363,455,-14.25469,-19.53038,17.70285,K0,6.22678103327,0.866,True
49845,AN Sextantis,HIP 49986,745,597,-6.95123,3.53052,-0.51033,M3,9.79588019533,1.487,True
94055,AST 1,HIP 94349,147,566,3.14083,-9.63417,0.51114,M4,11.0585034741,1.542,False
78675,AT Coronae Borealis,HIP 78913,351,454,-8.72128,-16.1449,14.66612,K3V,6.72551825089,0.963,True
101811,AT Microscopii,HIP 102141,110,6,5.60037,-6.56592,-5.48397,Mpe,10.2216942739,1.55,False
102079,AU Microscopii,HIP 102409,112,6,5.60274,-6.37996,-5.17065,M1Ve,8.82277404074,1.47,False
104752,Lacaille 8760,HIP 105090,89,597,2.33065,-2.00299,-2.47654,M1/M2V,8.70877595712,1.397,True
107363,AY Indi,HIP 107705,49,262,4.16996,-2.67995,-15.34845,M2Ve,8.49195844749,1.42,False
10195,AZ Arietis,HIP 10218,436,141,25.43343,16.41948,11.8501,G5V,4.76993165565,0.677,False
118556,AZ Cancri,Gl 316.1,667,588,-9.48287,11.24632,4.89546,m,16.7277985732,2.02,False
67089,Alkaid,HIP 67301,450,468,-17.95173,-9.10176,23.4111,B3V SB,-0.597945259949,-0.099,False
65273,Alcor,HIP 65477,458,475,-13.30018,-5.1871,20.37899,A5V SB,2.01059003096,0.169,False
21368,Aldebaran,HIP 21421,563,144,6.86574,17.86724,5.67336,K5III,-0.631244841552,1.538,False
104862,Alderamin,HIP 105199,379,559,5.24926,-4.46051,13.28094,A7IV-V,1.57518220611,0.257,False
14540,Algol,HIP 14576,485,84,14.64569,15.7288,18.65323,B8V,-0.180991214204,-0.003,False
