,﻿hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
3372,99446,MCC 815,HIP 99764,228,320,11.2009,-16.847579999999997,-2.58497,K7V,8.64230946623,1.351,True,True,True,True,True,K,V
3375,102925,MCC 827,HIP 103256,229,599,15.29616,-15.963389999999999,5.17575,K3V,7.0392365515,1.054,True,True,True,True,True,K,V
3376,103437,MCC 828,HIP 103768,183,272,12.28732,-12.11177,-11.00174,K5V,7.8152116951399995,1.239,False,True,True,True,True,K,V
3389,53172,MCC 874,HIP 53327,471,533,-5.14323,1.5122799999999998,21.60666,K8V:,7.74219873795,1.097,True,True,True,True,True,K,V
3392,63205,MCC 883,HIP 63406,483,454,-17.36832,-4.61725,16.17391,G9V,6.68290265043,0.94,True,True,True,True,True,G,V
3393,73921,MCC 885,HIP 74148,364,446,-20.96109,-22.690520000000003,13.76348,K8V:,6.67425662263,1.07,True,True,True,True,True,K,V
3395,25813,MCC 9,HIP 25878,480,292,0.7056600000000001,5.63517,-0.36448,M1V,9.19410597297,1.474,True,True,True,True,True,M,V
3399,14409,MCC 98,HIP 14445,459,229,10.142560000000001,10.72937,0.50718,M0V,8.22262257049,1.358,True,True,True,True,True,M,V
3403,119313,MCY 3,GJ 1245 A,378,320,1.60578,-2.96152,3.3016300000000003,M5.5 V E,15.0416793046,1.9,False,True,True,True,True,M,V
3406,92628,MET 87AB,HIP 92919,246,510,4.74521,-19.07252,8.569180000000001,K0V,6.50379270875,0.91,False,True,True,True,True,K,V
3407,62809,MET 9,HIP 63008,540,446,-30.84086,-7.49914,12.893239999999999,F8V,4.31617047494,0.576,False,True,True,True,True,F,V
3408,114785,MKR 1A,HIP 115147,421,568,3.7072300000000005,-0.66313,19.38081,G9V,6.052897248480001,0.893,False,True,True,True,True,G,V
3409,84452,MLO 4,HIP 84709,78,572,-1.01773,-5.619669999999999,-3.9974,K4V,6.69350276291,1.082,False,True,True,True,True,K,V
3410,119144,MLO 4B,Gl 667  B,78,572,-1.0193299999999998,-5.619330000000001,-3.99747,K5 V,7.98350276291,None,False,True,True,True,True,K,V
3412,54585,MN Ursae Majoris,HIP 54745,559,461,-17.23702,3.6212400000000002,12.70986,G0V,4.7256765747900005,0.6,False,True,True,True,True,G,V
3413,74747,MQ Serpentis,HIP 74975,107,470,-15.93636,-18.87646,0.7619600000000001,F8III-IV,3.07512939217,0.54,False,True,True,True,True,F,V
3416,113470,MT Pegasi,HIP 113829,288,77,21.98183,-5.57408,8.66817,G5V,4.72395895978,0.62,False,True,True,True,True,G,V
3418,57001,MUG 9A,HIP 57172,816,344,-16.115660000000002,1.16214,-25.86519,K1V,5.78870708335,0.908,False,True,True,True,True,K,V
3419,94052,MV Draconis,HIP 94346,349,528,3.31334,-10.16944,16.899820000000002,G8V,5.53485002168,0.804,False,True,True,True,True,G,V
3420,56660,MV Ursae Majoris,HIP 56829,525,457,-14.546579999999999,1.33683,13.305079999999998,K5V,6.74118168654,0.98,False,True,True,True,True,K,V
3421,69342,MV Virginis,HIP 69562,18,463,-21.273410000000002,-14.12841,-7.01295,K4V,8.275159928130002,1.27,False,True,True,True,True,K,V
3424,59593,Megrez,HIP 59774,490,486,-13.5563,-0.9137200000000001,20.948320000000002,A3VVAR,1.3330126021,0.077,False,True,True,True,True,A,V
3425,28288,Menkalinan,HIP 28360,554,35,0.03658,17.81857,17.78594,A2V,-0.104953800883,0.077,False,True,True,True,True,A,V
3426,53754,Merak,HIP 53910,519,501,-13.04884,3.3843900000000002,20.27637,A1V,0.407623514268,0.033,False,True,True,True,True,A,V
3427,65174,Mizar,HIP 65378,458,474,-12.857489999999999,-4.93061,19.6119,A2V,0.332241923559,0.057,False,True,True,True,True,A,V
3429,119434,Mu 2 Cygni,HD 206827,272,15,16.288510000000002,-10.97455,10.77347,G2 V,4.338620929649999,None,False,True,True,True,True,G,V
3430,95928,Mu Aquilae,HIP 96229,228,382,13.41668,-30.824209999999997,4.35381,K3III,1.7991100798900002,1.176,False,True,True,True,True,K,I
3431,86530,Mu Arae,HIP 86796,94,335,-0.65253,-9.417489999999999,-12.01068,G5V,4.19988000486,0.694,True,True,True,True,True,G,V
3432,39667,Mu Cancri,HIP 39780,631,591,-11.47819,18.41111,8.58217,G2IV,3.4602608335300005,0.642,True,True,True,True,True,G,V
3433,107694,Mu Capricorni,HIP 108036,218,234,22.886039999999998,-14.121870000000001,-6.482,F3IV,2.87054150815,0.378,False,True,True,True,True,F,V
3434,5325,Mu Cassiopeiae,HIP 5336,414,296,4.1494800000000005,1.27288,6.18121,G5VP,5.779439925519999,0.704,False,True,True,True,True,G,V
3435,12795,Mu Ceti,HIP 12828,457,163,19.12495,16.76321,4.536580000000001,F1III-IV,2.20911585659,0.311,False,True,True,True,True,F,V
3436,106968,Mu Cygni,HIP 107310,272,15,16.290010000000002,-10.97327,10.77251,F6V,2.7386209296499997,0.512,False,True,True,True,True,F,V
3438,119128,Mu Draconis A,HD 154906,362,489,-3.19365,-13.132539999999999,18.92537,F7 V,3.7973422779000003,0.47,False,True,True,True,True,F,V
3439,86706,Mu Herculis,HIP 86974,346,351,-0.43896999999999997,-7.42265,3.90751,G5IV,3.7986469987,0.75,False,True,True,True,True,G,V
3440,52575,Mu Velorum,HIP 52727,780,347,-21.91555,7.251189999999999,-26.951729999999998,G5III SB,-0.0602950561333,0.901,False,True,True,True,True,G,I
3441,71732,Mu Virginis,HIP 71957,63,487,-14.07744,-12.13626,-1.8412400000000002,F2III,2.51339183425,0.385,False,True,True,True,True,F,I
3442,29222,NAJ 1A,HIP 29295,751,40,-0.24725,5.35301,-2.15016,M1/M2V,9.34261406109,1.487,True,True,True,True,True,M,V
3443,17107,NBP 36,HIP 17147,514,182,13.912429999999999,19.935779999999998,-1.36616,F9V,4.74762351427,0.554,False,True,True,True,True,F,V
3444,50513,NC 26,HIP 50657,678,422,-28.795640000000002,13.316139999999999,-0.81381,K3V,6.90224201587,1.073,False,True,True,True,True,K,V
3446,74328,NC 40,HIP 74555,95,464,-18.30455,-20.68975,-1.8340299999999998,K4V,7.628738708210001,1.117,False,True,True,True,True,K,V
3447,83343,NC 42,HIP 83599,120,532,-2.6280900000000003,-10.7888,-0.98936,M0V,9.84396221522,1.476,False,True,True,True,True,M,V
3448,105806,NC 54,HIP 106147,239,270,13.987210000000001,-10.7293,-3.9111599999999997,K4/K5V,7.82676475705,1.261,False,True,True,True,True,K,V
3450,10255,NC 7,HIP 10279,415,256,8.68469,5.65969,0.64856,M3V:,9.95768040801,1.431,False,True,True,True,True,M,V
3451,57511,NGP 50 34,HIP 57683,530,480,-20.84856,0.9266399999999999,24.20458,K2V,6.417027815730001,1.098,False,True,True,True,True,K,V
3454,103963,NLTT 50509,HIP 104299,73,254,7.351369999999999,-6.869669999999999,-24.80353,K1V,6.412034337790001,0.84,False,True,True,True,True,K,V
3472,60911,NO Ursae Majoris,HIP 61100,484,480,-13.44757,-1.84887,19.471629999999998,K2V,6.202957295630001,0.941,False,True,True,True,True,K,V
3473,61754,NP Ursae Majoris,HIP 61946,477,479,-12.86242,-2.36881,19.19045,K3V,6.44037012744,0.955,False,True,True,True,True,K,V
3474,65311,NQ Ursae Majoris,HIP 65515,455,477,-11.0872,-4.3541099999999995,18.32145,G9IV-V,5.59243007892,0.804,False,True,True,True,True,G,V
3475,5017,NSV 390,HIP 5027,141,136,22.2218,6.41429,-11.08367,K4/K5V,7.73476617594,1.194,True,True,True,True,True,K,V
3480,74978,Nu 1 Lupi,HIP 75206,53,387,-14.55079,-17.67349,-25.36034,F8V,2.32211361217,0.515,False,True,True,True,True,F,V
3481,74953,Nu 2 Lupi,HIP 75181,44,378,-6.1628300000000005,-7.464580000000001,-10.87096,G2V,4.8347836853,0.639,False,True,True,True,True,G,V
3482,110272,Nu Indi,HIP 110618,56,234,8.05662,-3.5629199999999996,-27.52647,A3V: + F9V,2.9753804939599995,0.66,False,True,True,True,True,A,V
3484,106747,Nu Octantis,HIP 107089,41,258,3.80435,-2.62752,-20.66659,K0III,2.1006299137099997,1.008,False,True,True,True,True,K,I
3485,5849,Nu Phoenicis,HIP 5862,51,81,9.98284,3.39727,-10.74278,F8V,4.081821262209999,0.571,False,True,True,True,True,F,V
3486,89489,OL 18AB,HIP 89766,133,359,2.2196599999999997,-26.58216,-18.78683,K3V,5.942152394269999,1.013,False,True,True,True,True,K,V
3487,101627,OQ Delphini,HIP 101955,196,595,11.87482,-14.1996,1.6103,K5V,6.53471846714,1.241,False,True,True,True,True,K,V
3490,97366,Omicron Aquilae,HIP 97675,207,557,8.881839999999999,-16.877129999999998,3.50581,F8V,3.6819856570300002,0.563,False,True,True,True,True,F,V
3492,24599,Omicron Columbae,HIP 24659,732,174,5.10588,27.2067,-19.30697,K0/K1III/IV,2.1686582574,0.987,False,True,True,True,True,K,V
3493,115349,Omicron Gruis,HIP 115713,91,187,19.15814,-2.81117,-25.43814,F4V,3.00633372194,0.409,False,True,True,True,True,F,V
3494,70097,PIN 2A,HIP 70319,50,498,-14.26854,-10.29577,0.38169000000000003,G1V,5.0225061469300005,0.639,True,True,True,True,True,G,V
3497,37611,PLX 1839,HIP 37718,757,247,-8.61684,17.626079999999998,-23.76418,F8V,4.19607350568,0.527,False,True,True,True,True,F,V
3501,917,PLX 23,HIP 919,342,81,29.33612,1.45679,17.26673,K0V,5.28804052792,0.755,False,True,True,True,True,K,V
3505,59545,PLX 2819,HIP 59726,804,393,-23.05242,-1.50696,-20.1807,G5V,5.056088000340001,0.649,False,True,True,True,True,G,V
3508,64886,PLX 3052,HIP 65091,476,462,-23.57312,-8.63262,23.50133,K2III,5.43797201093,0.817,False,True,True,True,True,K,I
3510,85178,PLX 3966,HIP 85436,265,462,-3.7727699999999995,-26.4902,13.512839999999999,K1IV,5.30613020983,0.82,True,True,True,True,True,K,V
3511,90929,PLX 4307,HIP 91210,371,530,2.1931,-13.69614,32.54025,G3VVAR,4.83662904245,0.618,False,True,True,True,True,G,V
3512,91323,PLX 4314,HIP 91605,269,503,3.61387,-20.02804,12.488560000000001,K3V,6.6500333650300005,0.865,False,True,True,True,True,K,V
3513,10481,PLX 461,HIP 10505,437,131,19.991629999999997,13.408760000000001,10.85463,G8IV,4.6914765256,0.69,True,True,True,True,True,G,V
3514,96915,PLX 4648,HIP 97222,268,541,7.54122,-15.19856,11.2739,K3V,6.134965160499999,1.0,False,True,True,True,True,K,V
3515,118132,PLX 466,HD 14039,446,39,11.06347,7.629,20.35391,K1 V,6.3339192836,0.92,False,True,True,True,True,K,V
3518,101604,PLX 4918,HIP 101932,233,591,17.9097,-21.464570000000002,4.9673099999999994,K2V,6.25394675816,0.91,False,True,True,True,True,K,V
3519,1441,PLX 50,HIP 1444,231,155,25.3546,1.99291,-6.08505,G2V,4.42258941802,0.599,True,True,True,True,True,G,V
3523,111892,PLX 5511,HIP 112245,380,587,10.19716,-3.5063800000000005,22.68008,G8V,5.50050627846,0.719,True,True,True,True,True,G,V
3524,112201,PLX 5523,HIP 112559,235,132,29.68848,-9.66953,-2.3084,G5V,4.19167455901,0.654,False,True,True,True,True,G,V
3528,116454,PLX 5726,HIP 116819,202,154,24.723329999999997,-2.09478,-8.538,G5V,5.49519474386,0.731,True,True,True,True,True,G,V
3530,13354,PLX 600,HIP 13388,842,136,15.84941,14.82165,-14.33598,K1V,6.01448172069,0.827,True,True,True,True,True,K,V
3532,1764,PLX 61,HIP 1768,152,136,19.89024,1.9494799999999999,-10.19703,K1V,6.545213170429999,0.888,False,True,True,True,True,K,V
3533,13989,PLX 625,HIP 14023,470,164,22.721829999999997,22.84008,3.37846,K0V,5.55768314741,0.838,False,True,True,True,True,K,V
3536,1950,PLX 68,HIP 1955,81,169,21.62138,2.3429599999999997,-26.89798,G3IV,4.11524045835,0.596,False,True,True,True,True,G,V
3538,15735,PLX 713,HIP 15774,810,135,8.02021,9.84099,-15.12561,K3V,7.10246848505,1.068,False,True,True,True,True,K,V
3539,15973,PLX 718,HIP 16012,765,147,16.78749,21.13937,-15.976070000000002,G8V,5.39759156362,0.716,True,True,True,True,True,G,V
3543,17846,PLX 838,HIP 17888,536,162,17.9791,28.11073,0.78622,K1V,5.96270904514,0.822,False,True,True,True,True,K,V
3544,17936,PLX 853,HIP 17978,787,154,10.5238,16.6131,-18.06281,K2V,6.47725911018,0.913,True,True,True,True,True,K,V
3545,18727,PLX 858,HIP 18774,462,583,1.8924400000000001,3.3216300000000003,15.518139999999999,K4V,7.18183077489,1.132,False,True,True,True,True,K,V
3548,19185,PLX 923,HIP 19233,819,183,4.75969,8.891210000000001,-20.88344,G3V,4.54339376089,0.636,True,True,True,True,True,G,V
3551,20729,PLX 994,HIP 20781,783,168,8.73499,20.35539,-23.70929,F8V,3.5441631719099997,0.47,True,True,True,True,True,F,V
3557,63540,PX Virginis,HIP 63742,791,487,-21.185129999999997,-6.05768,-1.99025,G5V,5.96569217406,0.847,False,True,True,True,True,G,V
