hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
119072,49 Serpentis B,Gl 615.1B,223,452,-10.63374,-21.16284,5.70029,G8 V,5.5665658073,None,False,True,True,True,True,G,V
113850,5 Andromedae,HIP 114210,348,25,21.65993,-5.02507,25.84666,F5V,3.0165603149,0.449,False,True,True,True,True,F,V
19287,50 Persei,HIP 19335,515,78,7.84934,14.85746,13.14731,F7V,3.8744747676,0.52,False,True,True,True,True,F,V
97340,51 Aquilae,HIP 97650,210,336,12.0599,-22.97559,-4.93283,F0V,3.2709030481,0.402,False,True,True,True,True,F,V
14116,51 Arietis,HIP 14150,474,119,13.23739,13.52127,9.47956,G8V,4.9920090642,0.696,False,True,True,True,True,G,V
112998,51 Pegasi,HIP 113357,247,58,13.83143,-3.87064,5.44694,G5V,4.5179049428,0.666,True,True,True,True,True,G,V
110433,53 Aquarii,HIP 110778,228,223,17.65325,-7.62378,-5.78443,G3V,4.0361467138,0.618,False,True,True,True,True,G,V
119502,53 Aquarii A,HD 212698,228,223,17.65313,-7.624,-5.78453,G3 V,4.6961467138,0.62,False,True,True,True,True,G,V
82337,53 Herculis,HIP 82587,298,459,-7.36658,-24.46437,15.78069,F0V,2.9522211675,0.319,False,True,True,True,True,F,V
64204,53 Virginis,HIP 64407,806,456,-29.72747,-9.66737,-9.08059,F6V,2.4771060568,0.46,False,True,True,True,True,F,V
32394,56 Aurigae,HIP 32480,578,13,-2.42272,11.71458,11.38258,G0V,4.1509293325,0.575,True,True,True,True,True,G,V
86470,58 Ophiuchi,HIP 86736,159,393,-1.17758,-16.25989,-6.48197,F6/F7V,3.6393742784,0.469,False,True,True,True,True,F,V
93789,59 Draconis,HIP 94083,397,542,1.8853,-6.05651,26.54522,A9V,2.929777325,0.308,False,True,True,True,True,A,V
114069,6 Andromedae,HIP 114430,341,35,20.00468,-4.39318,19.46653,F5IV,3.6544028132,0.45,False,True,True,True,True,F,V
99744,6 Capricorni,HIP 100064,207,316,18.42959,-26.80179,-7.23771,G6/G8III,0.9663299771,0.883,False,True,True,True,True,G,I
908,6 Ceti,HIP 910,240,171,18.1832,0.89448,-5.03756,F5V,3.5089196848,0.487,False,True,True,True,True,F,V
56829,61 Ursae Majoris,HIP 56997,487,360,-7.86403,0.6517,5.36323,G8VVAR,5.4120136049,0.723,False,True,True,True,True,G,V
64721,61 Virginis,HIP 64924,827,567,-7.62443,-2.71554,-2.67804,G5V,5.0864900606,0.709,True,True,True,True,True,G,V
36136,63 Geminorum,HIP 36238,615,23,-11.83428,29.38685,12.44441,F5IV-V...,2.5402589573,0.455,False,True,True,True,True,F,V
3802,64 Piscium,HIP 3810,354,134,22.36466,4.85364,6.97102,F8V...,3.1758814089,0.502,False,True,True,True,True,F,V
65216,66 Virginis,HIP 65420,800,472,-27.95451,-10.80809,-2.70856,F3V,3.3676517064,0.415,False,True,True,True,True,F,V
23886,68 Eridani,HIP 23941,625,165,5.53101,24.30937,-1.94293,F2V,3.1197570207,0.455,False,True,True,True,True,F,V
114209,7 Andromedae,HIP 114570,356,22,15.60014,-3.27689,18.60213,F0V,2.5843650019,0.302,False,True,True,True,True,F,V
31512,7 Canis Majoris,HIP 31592,669,214,-2.98477,18.48817,-6.54204,K1III+...,2.4625834872,1.037,False,True,True,True,True,K,I
88328,70 Ophiuchi,HIP 88601,354,329,0.12089,-5.07966,0.22206,K0V SB,5.4981384588,0.86,False,True,True,True,True,K,V
119199,70 Ophiuchi B,Gl 702  B,354,329,0.12071,-5.07962,0.22304,K5 VE,7.4681384588,1.15,False,True,True,True,True,K,V
65516,70 Virginis,HIP 65721,464,409,-16.29497,-6.61939,4.31361,G5V,3.6804820115,0.714,True,True,True,True,True,G,V
29577,71 Orionis,HIP 29650,620,76,-1.2922,19.91636,6.93336,F6V,3.5756825223,0.43,False,True,True,True,True,F,V
88495,72 Ophiuchi,HIP 88771,222,444,0.80255,-25.01508,4.21683,A4IVS,1.6874811091,0.159,False,True,True,True,True,A,V
44764,75 Cancri,HIP 44892,610,508,-20.50875,18.99291,14.01586,G5IV,3.4743922971,0.654,False,True,True,True,True,G,V
63301,78 Ursae Majoris,HIP 63503,470,480,-13.34375,-3.62081,20.78372,F2V,2.9435547248,0.368,False,True,True,True,True,F,V
72378,8 Librae,HIP 72603,57,462,-16.72443,-15.4177,-6.52126,F3V,3.2796474636,0.401,False,True,True,True,True,F,V
45040,81 Cancri,HIP 45170,652,537,-14.71794,13.21751,5.29883,G9V,4.9334336214,0.731,False,True,True,True,True,G,V
55680,83 Leonis,HIP 55846,715,509,-17.46129,2.55025,0.92872,K0IV,5.2536984697,0.778,False,True,True,True,True,K,V
55682,83 Leonis B,HIP 55848,714,507,-17.77569,2.5949,0.9433,K2V,6.3049833702,1.002,False,True,True,True,True,K,V
12497,84 Ceti,HIP 12530,443,188,16.49057,13.98888,-0.26245,F7IV,4.0450891271,0.511,False,True,True,True,True,F,V
171,85 Pegasi,HIP 171,361,263,11.04175,0.1041,5.64682,G3V,5.332483299,0.69,False,True,True,True,True,G,V
56076,88 Leonis,HIP 56242,653,468,-22.14155,2.74292,5.7139,G0V,4.4584490956,0.57,False,True,True,True,True,G,V
